Property,Value
Name,Chemical Conversion Coating
Description,"Chemical Conversion Coating (Zn₃(PO₄)₂, Fe₃(PO₄)₂, Chromates) is a common contamination pattern in laser cleaning. This inorganic-coating/coating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Zn₃(PO₄)₂', 'Fe₃(PO₄)₂', 'Chromates']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 65000, 'wavelength_532nm': 22000}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.18}"
Total Compounds,3
Compound 1,Hexavalent Chromium
Compound 2,Carbon Dioxide
Compound 3,Metal Oxides (Mixed)
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [355, 532]}"
pulseWidth,"{'max_ns': 50, 'min_ns': 5, 'recommended_ns': 15}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,50
