Property,Value
Name,Environmental Dust Layer
Description,"Environmental Dust Layer is a common contamination pattern in laser cleaning. This organic-residue/other contamination affects surface integrity and requires specialized removal techniques. Commonly found on 1 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
absorptionRate,"{'wavelength_1064nm': 150, 'wavelength_355nm': 3200, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.07, 'wavelength_532nm': 0.18}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Nanoparticulates
Compound 4,Organic Residues
laserPower,"{'max_j_cm2': 0.45, 'min_j_cm2': 0.15, 'recommended_j_cm2': 0.25}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
