Property,Value
Name,Epoxy Resin Deposits
Description,"Epoxy Resin Deposits (Bisphenol A, Epichlorohydrin, Amine Hardener) is a common contamination pattern in laser cleaning. This organic-residue/adhesive contamination affects surface integrity and requires specialized removal techniques. Commonly found on 17 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Bisphenol A', 'Epichlorohydrin', 'Amine Hardener']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 2800, 'wavelength_532nm': 450}"
reflectivity,"{'wavelength_1064nm': 0.08, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.05}"
Total Compounds,6
Compound 1,Carbon Monoxide
Compound 2,Formaldehyde
Compound 3,Carbon Dioxide
Compound 4,Volatile Organic Compounds
Compound 5,Water Vapor
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.4, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [355, 1064]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,53
