Property,Value
Name,Insect Impact Residue
Description,"Insect Impact Residue (Proteins, Chitin, Fats) is a common contamination pattern in laser cleaning. This biological/deposit contamination affects surface integrity and requires specialized removal techniques. Commonly found on 21 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Proteins', 'Chitin', 'Fats']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Nitrogen Oxides
Compound 2,Carbon Dioxide
Compound 3,Water Vapor
Compound 4,Carbon Ash
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.7}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.75}"
Variable Measured Count,51
