Property,Value
Name,Metal Polish Residue
Description,"Metal Polish Residue (Al₂O₃, CeO₂, Wax, Surfactants) is a common contamination pattern in laser cleaning. This organic-residue/wax contamination affects surface integrity and requires specialized removal techniques. Commonly found on 4 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Al₂O₃', 'CeO₂', 'Wax', 'Surfactants']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_532nm': 18500}"
reflectivity,"{'wavelength_1064nm': 0.65, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.25}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Metal Oxides (Mixed)
Compound 4,Organic Residues
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.6}"
wavelength,"{'value': [355, 1064]}"
pulseWidth,"{'max_ns': 50, 'min_ns': 4, 'recommended_ns': 10}"
scanSpeed,"{'max': 3000, 'min': 500, 'recommended': 1500}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 30}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,50
