Property,Value
Name,Thermal Spray Coating
Description,"Thermal Spray Coating (Al₂O₃, ZrO₂, MCrAlY, WC-Co) is a common contamination pattern in laser cleaning. This thermal-damage/coating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Al₂O₃', 'ZrO₂', 'MCrAlY', 'WC-Co']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_532nm': 48000}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.18}"
Total Compounds,2
Compound 1,Metal Oxides (Mixed)
Compound 2,Metal Vapors (Mixed)
laserPower,"{'max_j_cm2': 3.0, 'min_j_cm2': 1.5, 'recommended_j_cm2': 2.0}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 6, 'optimal_passes': 4, 'single_pass': 0.3}"
Variable Measured Count,48
