Property,Value
Name,Pollen Accumulation
Description,"Pollen Accumulation (Proteins, Lipids, Cellulose) is a common contamination pattern in laser cleaning. This biological/deposit contamination affects surface integrity and requires specialized removal techniques. Commonly found on 21 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Proteins', 'Lipids', 'Cellulose']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 2800, 'wavelength_532nm': 450}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Carbon Ash
Compound 4,Organic Residues
laserPower,"{'max_j_cm2': 0.8, 'min_j_cm2': 0.2, 'recommended_j_cm2': 0.4}"
wavelength,"{'value': [355, 1064]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 30}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
