Property,Value
Name,Zinc Electroplating
Description,"Zinc Electroplating (Zn, Zn Alloys) is a common contamination pattern in laser cleaning. This metallic-coating/plating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Zn', 'Zn Alloys']"
absorptionRate,"{'wavelength_1064nm': 85000, 'wavelength_355nm': 450000, 'wavelength_532nm': 150000}"
reflectivity,"{'wavelength_1064nm': 0.85, 'wavelength_355nm': 0.35, 'wavelength_532nm': 0.65}"
Total Compounds,1
Compound 1,Zinc Oxide
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 6, 'optimal_passes': 4, 'single_pass': 0.3}"
Variable Measured Count,48
