Property,Value,Unit,Description
category,plastic,,
subcategory,thermoplastic,,
name,PET,,
density,1.38,g/cm³,
porosity,0,%,
surfaceRoughness,0.8,μm,
tensileStrength,55,MPa,
youngsModulus,2.8,GPa,
hardness,0.09,GPa,
flexuralStrength,85,MPa,
oxidationResistance,2.2,μm/year,
corrosionResistance,0.9,mm/year,
compressiveStrength,55,MPa,
fractureToughness,4,MPa m^{1/2},
electricalResistivity,1e+16,Ω·m,
thermalDestruction,523,K,
laserAbsorption,0.48,dimensionless,
laserDamageThreshold,0.62,J/cm²,
ablationThreshold,0.025,J/cm²,
thermalDiffusivity,1.2e-07,m²/s,
thermalExpansion,7e-05,K^{-1},
specificHeat,1170.0,J/(kg·K),
thermalConductivity,0.24,W/m·K,
laserReflectivity,0.042,fraction,
power,50-500,W,"Typical range for polymer cleaning to avoid thermal damage; starting at 100W for light contamination on PET, max below ~300W to prevent melting (PET melting point ~260°C). Source: Studies on Nd:YAG laser cleaning of plastics (e.g., J. Laser Appl. 2018)."
wavelength,355-10640,nm,Near-IR wavelength for controlled absorption
spotSize,0.1-500,μm,Larger spot for gentle surface treatment
repetitionRate,1-200,kHz,Lower frequency to prevent thermal damage
pulseWidth,0.1-1000,ns,Short pulses for minimal thermal impact
scanSpeed,10-5000,mm/s,Fast scanning to reduce heat accumulation
passCount,1-10,passes,Multiple gentle passes for gradual cleaning
overlapRatio,10-90,%,Lower overlap to prevent overheating
