Property,Value,Unit,Description
category,plastic,,
subcategory,thermoplastic,,
name,Polytetrafluoroethylene (PTFE),,
electricalResistivity,1e+18,Ω·m,
fractureToughness,2.0,MPa·m^{1/2},
youngsModulus,0.5,GPa,
oxidationResistance,95.0,%,
density,2.16,g/cm³,
hardness,55.0,Shore D,
corrosionResistance,1.0,dimensionless (resistance index),
compressiveStrength,28.0,MPa,
flexuralStrength,24.0,MPa,
tensileStrength,24.0,MPa,
laserDamageThreshold,5,J/cm²,
absorptivity,0.9,dimensionless,
absorptionCoefficient,500000,m⁻¹,
thermalShockResistance,1.2,MW/m,
reflectivity,0.08,dimensionless,
thermalDestructionPoint,673,K,
vaporPressure,10,Pa,
thermalDestruction,500.0,°C,
specificHeat,1050.0,J/(kg·K),
laserReflectivity,0.95,,
thermalConductivity,0.25,W/m·K,
thermalExpansion,0.00011,K^{-1},
laserAbsorption,12000000.0,m^{-1},
thermalDiffusivity,1.1e-07,m²/s,
ablationThreshold,0.28,J/cm²,
power,20-200,W,"Typical range for 1064 nm pulsed lasers in polymer cleaning to avoid thermal degradation of PTFE (low thermal conductivity ~0.25 W/m·K, melting point 327°C); starting at 50W for light contamination, max 200W to prevent substrate ablation. Source: Manufacturer specs from IPG Photonics YLR series and studies in Optics and Lasers in Engineering (2018) on polymer surface cleaning."
wavelength,355-10640,nm,Near-infrared wavelength optimized for Polytetrafluoroethylene absorption characteristics and minimal subsurface damage
spotSize,0.1-500,μm,Beam spot diameter for precise Polytetrafluoroethylene surface cleaning resolution
repetitionRate,1-200,kHz,Optimal repetition rate for efficient Polytetrafluoroethylene cleaning with thermal management
pulseWidth,0.1-1000,ns,Nanosecond pulse duration for controlled ablation of Polytetrafluoroethylene surface contaminants
scanSpeed,10-5000,mm/s,Optimal scanning speed for uniform Polytetrafluoroethylene surface treatment
passCount,1-10,passes,Recommended number of passes for complete Polytetrafluoroethylene surface cleaning
overlapRatio,10-90,%,Optimal beam overlap for uniform Polytetrafluoroethylene surface coverage
